Timestamp;Username;Navn;Afdeling;PCNavn;OS;Producent;Model1;Model2;S/N;PC-AD-Status
07/10/20 08:15;N1M294;Alana Gutierrez;AFE Forretningsudvikling;PC5004033;Windows 10;LENOVO;20M3;MIIX 520-12IKB;YD06HZ7G;Aktiv
07/10/20 09:55;N1M295;Jovanni Leach;AFE Net Drift;PC5004034;Windows 10;HP;HP ZBook 17 G5; ;5CD91366YK;Aktiv
07/10/20 08:59;N1M296;Moses Villegas;AFE Ledningsafsnit;PC5004035;Windows 10;LENOVO;20L6SB2C00;ThinkPad T480;PF1NEZD0;Aktiv
06/10/20 17:03;N1M297;Fatima Steele;AFE Ledningsafsnit;PC5004036;Windows 10;LENOVO;20L6SB2C00;ThinkPad T480;PF1NEZBR;Aktiv
07/10/20 06:40;N1M298;Jazlynn Myers;AFE Salg og Service;PC5004037;Windows 10;LENOVO;20L6SAS100;ThinkPad T480;PF1PM8ZR;Aktiv
07/10/20 09:16;N1M278;Alan Nixon;AFE Net Drift;PC5004038;Windows 10 LTSB;HP;HP Z2 SFF G4 Workstation; ;CZC91888SK;Aktiv
29/09/20 04:08;N1M533;Amya Garrett;AFE Net Drift;PC5004039;Windows 10 LTSB;HP;HP Z2 SFF G4 Workstation; ;CZC91888SJ;Aktiv
29/09/20 03:54;#I/T;#I/T;"DIGIT, AFS";PC5004040;Windows 10 LTSB;HP;HP Z2 SFF G4 Workstation; ;CZC91888SH;Aktiv
24/09/20 12:24;#I/T;#I/T;"DIGIT, AFS";PC5004041;Windows 10 LTSB;HP;HP Z2 SFF G4 Workstation; ;CZC91888SG;Aktiv
29/09/20 03:38;#I/T;#I/T;"DIGIT, AFS";PC5004042;Windows 10 LTSB;HP;HP Z2 SFF G4 Workstation; ;CZC91888SF;Aktiv
06/10/20 03:47;N1M301;Davin Woodard;AFE Net Drift;PC5004045;Windows 10;LENOVO;20NYS1JA00;ThinkPad T490s;PF1GGVBQ;Aktiv
30/09/20 11:45;N1M054;Adrian Fields;"AFS DiGIT, DAD-Drift";PC5004879-VM;Windows 10;Phoenix Technologies LTD;VMware Virtual Platform;None;VMware-56 4d 87 e2 e4 b2 4f 20-f6 98 7d 65 8d 40 ;Aktiv
06/10/20 17:30;N1M302;Alvaro Armstrong;AFE Net Drift;PC5004895;Windows 10;Hewlett-Packard;HP ZBook 17;A3009DC10303;CND5042X4J;Aktiv
07/10/20 06:27;N1M303;Raegan Wagner;AFE Decentrale Værker;PC5004903;Windows 10;Hewlett-Packard;HP ZBook 17;A3009DD10303;CND5050L4N;Aktiv
06/10/20 08:54;N1M304;Milton Castillo;AFE Decentrale Værker;PC5004907;Windows 10;Hewlett-Packard;HP ZBook 17;A3009DC10303;CND4500F8N;Aktiv
